Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W1,DSC_0606.NEF,-0.9971860735287493,-0.0028909943783482937,4485.374312560364,0.0068741304416330305,-1.003928512609459,2852.3716585527577,3.299372953780269e-06,-1.588295538268107e-07,1.0
A&W1,DSC_0607.NEF,-0.9985975911102674,-0.001794506872109179,4492.049978611976,0.008271474193242633,-1.0057382945715432,2851.200153795688,3.982209674728246e-06,4.618497282254842e-07,1.0
A&W1,DSC_0608.NEF,-0.9981277210070814,-0.0017483694696986195,4489.763027014662,0.007062083371612142,-1.0044001419334914,2850.321852570747,3.6315872385450824e-06,6.831715249058148e-07,0.9999999999999999
A&W1,DSC_0609.NEF,-0.9948537262557164,-0.006161381453214968,4484.307014375867,0.007165094842644753,-1.0036232726325092,2845.9122283821966,3.843624968681559e-06,-1.2882934707586368e-06,1.0
A&W1,DSC_0610.NEF,-0.9978095612207745,-0.0021141419720906024,4488.88928762562,0.007732026501722153,-1.0049242413700836,2849.5932111243055,3.7625202620425664e-06,2.6589510538969333e-07,0.9999999999999999
A&W1,DSC_0611.NEF,-0.9977935168296557,-0.0021947697479339262,4488.233622310135,0.006977144175100293,-1.0041737316311385,2848.9438729111216,3.4604539309103378e-06,4.847412672372365e-07,1.0
A&W1,DSC_0612.NEF,-0.9974356961845631,-0.002613452432906782,4488.098075120354,0.00729891685959959,-1.0046308831574533,2849.7959669849142,3.5664424646159384e-06,2.4152172404135984e-07,0.9999999999999999
A&W1,DSC_0613.NEF,-0.9978144499750795,-0.0016190557032034721,4490.089134223102,0.008006758615549224,-1.0051631933608958,2844.840733476684,3.835396514581117e-06,5.222938646642871e-07,1.0
A&W1,DSC_0614.NEF,-0.995388447025557,-0.005094182301193563,4486.210552795702,0.007357055759324972,-1.0047959848211152,2849.875788790333,4.23967399870639e-06,-1.1572798243707052e-06,0.9999999999999999
A&W1,DSC_0615.NEF,-0.9977349881889758,-0.0017551791339677242,4488.614892973235,0.006880628650379408,-1.004531219836915,2850.9974655876554,3.638028407383906e-06,5.371806906446154e-07,1.0
A&W1,DSC_0623.NEF,-0.9985309032912002,-0.0020006863390018277,4490.425711531348,0.008740404059604771,-1.006000136676036,2852.5683421722915,3.958537593035849e-06,-1.3338027341252384e-07,0.9999999999999999
A&W1,DSC_0624.NEF,-0.9980922208049366,-0.0032671165028725618,4492.383844828401,0.008437002034262332,-1.0064441371103308,2854.222281540313,4.154248804402961e-06,-7.82822453575784e-08,1.0
A&W1,DSC_0625.NEF,-0.9975524984210585,-0.0031951064488444044,4487.298665026247,0.006563888354346338,-1.0024967143940138,2848.5724798456276,2.9958572627351473e-06,3.650124923947558e-07,1.0
